Phrase,Meaning,Is This Accurate?
Aar,testicles,(10%) (4%)
bahanchod,sister fucker,(10%) (3%)
baila,idiot,(10%) (0%)
baklol,stupid,(0%) (0%)
bapjeth,elder than one's father,(0%) (0%)
bawaseer ho kya,irritating,(0%) (0%)
bhadwa,pimp,(0%) (0%)
bhethi,boob,(9%) (9%)
bhosda,huge pussey,(10%) (0%)
bhosri wali,Girl with big puzzy,(10%) (0%)
boor,pussey,(10%) (0%)
Boor ka baal,Pussy hair,(0%) (0%)
burbak,idiot,(10%) (5%)
chhinar,whore,(0%) (0%)
chhota chetan,small penis,(0%) (0%)
chuchi,boob,(0%) (0%)
chutmuha,cunt face,(0%) (0%)
dogla,bastard,(0%) (100%)
gaar marao,fuck off,(0%) (0%)
gaar maraye duniya,fuck the world (thuglife),(10%) (0%)
gaar me daal le,take (something) in your ass,(10%) (0%)
gadchat,ass sucker,(0%) (0%)
gopal gaurav,sperm,(10%) (0%)
jhatwa,pubic hair,(0%) (0%)
kiski maiyaa kutta biyayi,whose mother birthed a dog,(10%) (0%)
laar,penis,(10%) (0%)
laar chato,suck my dick,(0%) (0%)
laar lega,fuck off,(0%) (0%)
larchat,dick sucker,(0%) (0%)
maa chudao,fuck off,(0%) (0%)
muth,sperm,(0%) (100%)
randi ka bachha,son of a bitch,(0%) (0%)
randikhana,brothel,(10%) (0%)
ravi kumar patel,frog,(8%) (17%)
tori bahin ke chodu,i will fuck your sister,(0%) (0%)
tori maiyaa ke chodu,i fuck your mother,(10%) (0%)
